"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
11.575,8.45439E-4,0.02,-0.23
11.600,0.00137,0.01,-0.37
11.625,0.00155,0.00,-0.41
11.650,0.00139,-0.01,-0.36
11.675,0.00105,-0.02,-0.27
11.700,5.35389E-4,-0.02,-0.14
11.725,-1.52666E-4,-0.03,0.04
11.750,-8.45541E-4,-0.02,0.25
11.775,-0.00137,-0.01,0.40
11.800,-0.00156,8.26E-4,0.45
11.825,-0.00121,0.01,0.39
11.850,-8.79276E-4,0.02,0.26
11.875,-1.96164E-4,0.03,0.06
11.900,6.73450E-4,0.03,-0.16
11.925,0.00119,0.02,-0.34
11.950,0.00155,0.01,-0.43
11.975,0.00156,-0.01,-0.42
12.000,0.00122,-0.02,-0.33
12.025,7.07403E-4,-0.02,-0.20
12.050,1.93481E-5,-0.03,-0.01
12.075,-6.68707E-4,-0.02,0.21
12.100,-0.00137,-0.02,0.39
12.125,-0.00155,0.00,0.47
12.150,-0.00139,0.01,0.44
12.175,-0.00105,0.02,0.32
12.200,-3.68146E-4,0.03,0.11
12.225,4.96614E-4,0.03,-0.13
12.250,0.00119,0.02,-0.33
12.275,0.00155,0.01,-0.43
12.300,0.00155,0.00,-0.43
12.325,0.00139,-0.01,-0.37
12.350,8.79417E-4,-0.02,-0.24
12.375,1.96203E-4,-0.03,-0.04
12.400,-6.73530E-4,-0.03,0.20
12.425,-0.00119,-0.02,0.38
12.450,-0.00155,0.00,0.44
12.475,-0.00139,0.01,0.40
12.500,-0.00105,0.02,0.29
12.525,-5.35304E-4,0.02,0.15
12.550,1.52641E-4,0.03,-0.03
12.575,8.45439E-4,0.02,-0.23
12.600,0.00137,0.01,-0.39
12.625,0.00155,3.24E-4,-0.44
12.650,0.00139,-0.01,-0.37
12.675,8.74562E-4,-0.02,-0.23
12.700,3.63376E-4,-0.02,-0.07
12.725,-3.29510E-4,-0.02,0.09
12.750,-8.45541E-4,-0.02,0.26
12.775,-0.00138,-0.01,0.37
12.800,-0.00138,0.00,0.40
12.825,-0.00122,0.01,0.34
12.850,-7.02468E-4,0.02,0.23
12.875,-1.91331E-4,0.02,0.07
12.900,4.96614E-4,0.02,-0.12
12.925,0.00119,0.02,-0.31
12.950,0.00155,0.01,-0.43
12.975,0.00156,-0.01,-0.43
